ItemName, TestTimes, TestResult, ErrorCode
BT,1,OK,E_ATADLL_RESULT_SUCCESS
SW Version,1,OK,E_ATADLL_RESULT_SUCCESS
Receiver,1,Fail,E_ATADLL_RESULT_SPEC_CHECK_FAIL
Touch Panel,1,OK,E_ATADLL_RESULT_SUCCESS
LCM,1,OK,E_ATADLL_RESULT_SUCCESS
Main Camera,1,OK,E_ATADLL_RESULT_SUCCESS
Sub Camera,1,OK,E_ATADLL_RESULT_SUCCESS
Charger,1,OK,E_ATADLL_RESULT_SUCCESS
G-Sensor,1,OK,E_ATADLL_RESULT_SUCCESS
WIFI,1,OK,E_ATADLL_RESULT_SUCCESS
LED,1,OK,E_ATADLL_RESULT_SUCCESS
Barcode,1,OK,E_ATADLL_RESULT_SUCCESS
